language,incl,done,category,id,species,area,nature,exotic,simp,script,term,script alt,term alt,IPA,status,ety,literal,meaning,remark,notes,first,ambiguous,source page,source,source link,conventionalized,dict page,dictionary,dict link,wiktionary,date,century,period,based on,att page,attested,att,att link,CQL,warning,historic,per m H,tenten,per m C,bdb,etymology,quote,historical corpus,analyzability,structure,element,borrowing,how,type,has prototype,is prototype,modifier tr,head tr,specifying word tr,modifier,headword,specifier,modifier type,sensory,headword type,similarity,mechanism,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,anise,anise,Pimpinella anisum,Mediterranean,plant; spice,yes,,,anise,,,,default,done,,,,,,yes,,van_wyk_culinary_2014,,yes,anise,OED,https://www.oed.com/view/Entry/7811,,c1325,14,,OED,,,,,"[lc=""anise"" | lemma_lc=""anise""]  &  -1 kwic 1 [lc=""star"" | lemma_lc=""star""]",,,,"26,839",0.62,,"< French anis < Latin anīsum , < Greek ἄνῑσον , in var. dialect forms ἄνησον , ἄνηθον , ἄνητον , under which the Greeks seem to have included the two plants Anise and Dill. When these were discriminated, the variants anīsum and anēthum were utilized in Latin to distinguish them. See anet n.","in G. L. Brook Harley Lyrics (1968) 31   Þe primerole he passeþ, þe peruenke of pris, wiþ alisaundre þareto, ache ant anys.",,unanalyzable,simple,1,yes,phonetic,basic,no,yes,,anise,,,anise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,asafoetida,asafoetida,Ferula assa-foetida et al.,Asia,,,,,stinking gum,,,,alternative,,,,,,,no,,peter_handbook_2012,,no,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,descriptive,yes,,stinking,gum,,stinking,gum,,smell,olfactory,plant part,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,asafoetida,asafoetida,Ferula assa-foetida et al.,Asia,,,,,devil's dung,,,,alternative,,,,,,,no,,van_wyk_culinary_2014,,yes,devil's dung,OED,https://www.oed.com/view/Entry/51468?redirectedFrom=devil%27s+dung#eid6864250,,a1576,16,,,,,,,,,,,,,,,"W. Bullein Bk. Compoundes f. 39v (margin) , in Bulwarke of Defence (1579)    There be .ii. kindes of this Assa, one is called Assa fœtida, or Diuels dunge.",,analyzable,phrasal,2,no,,descriptive,yes,,devil's,dung,,devil's,dung,,negative epithet,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,asafoetida,asafoetida,Ferula spp.,Asia,spice; plant,yes,,,asafoetida,,,,default,done,,,,from Latin,,no,,van_wyk_culinary_2014,https://en.wiktionary.org/wiki/asafoetida,yes,asafoetida,OED,https://www.oed.com/view/Entry/11311,,a1398,14,,OED,,,,,,,,,,,,"Medieval Latin: asa, latinized form of Persian azā mastic + fœtida, feminine of fœtidus ill-smelling, stinking.","J. Trevisa tr. Bartholomaeus Anglicus De Proprietatibus Rerum (BL Add. 27944) (1975) II. xix. xl. 1303   Some stynkynge þinges beþ ydoon in medicyne, as..brymston and asa fetida.",,semi-analyzable,simple,1,yes,learned loan,basic,no,,,asafoetida,,,asafoetida,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,asafoetida,asafoetida,Ferula assa-foetida et al.,Asia,,,,,hing,,,,historic,done,,,,from Sanskrit,,no,,van_wyk_culinary_2014,,yes,hing,OED,https://www.oed.com/view/Entry/87092?rskey=1e07TP&result=4#eid,,1599,16,,,,,,,,,,,,,,< Hindi hīng < Sanskrit hingu.,"R. Fitch in R. Hakluyt Princ. Navigations (new ed.) II. i. 254   One hundred and fourescore boates laden with Salt, Opium, Hinge, Lead, Carpets [etc.].",,unanalyzable,simple,1,yes,phonetic,basic,no,,,hing,,,hing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cardamom,black cardamom,Amomum subulatum,Asia,spice; plant,yes,,,black cardamom,,,,related,,,,,,,yes,,AHD,,yes,black cardamom,AHD,https://www.ahdictionary.com/word/search.html?q=black+cardamom,,1837,19,,AHD,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,black,cardamom,,black,cardamom,,color,visual,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cardamom,black cardamom,Amomum subulatum,Asia,,,,,brown cardamom,,,,related,,,,,,,no,,van_wyk_culinary_2014,,no,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,brown,cardamom,,brown,cardamom,,color,visual,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cardamom,black cardamom,Amomum subulatum,Asia,,,,,false cardamom,,,,related,,,,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,false,cardamom,,false,cardamom,,negative authenticity,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cardamom,black cardamom,Amomum subulatum,Asia,,,,,greater cardamom,,,,related,,,,,,,yes,,van_wyk_culinary_2014,,no,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,greater,cardamom,,greater,cardamom,,size,visual,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cardamom,black cardamom,Amomum subulatum,Asia,,,,,hill cardamom,,,,related,,,,,,,no,,,GBIF,no,,,,,,,,,,,,,,,,,,,https://www.gbif.org/species/5301632,,,,analyzable,compound,2,no,,modified,yes,,hill,cardamom,,hill,cardamom,,ecology,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cardamom,black cardamom,Amomum subulatum,Asia,,,,,Indian cardamom,,,,related,,,,,,,no,,van_wyk_culinary_2014,,no,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Indian,cardamom,,Indian,cardamom,,geographic origin,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cardamom,black cardamom,Amomum subulatum; A. aromaticum,Asia,,,,,Nepal cardamom,,,,related,,,,,,,yes,,hu_food_2005,,no,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Nepal,cardamom,,Nepal,cardamom,,geographic origin,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cardamom,black cardamom,Amomum subulatum,Asia,,,,,winged cardamom,,,,related,,,,,,,no,,,GBIF,no,,,,,,,,,,,,,,,,,,,https://www.gbif.org/species/5301632,,,,analyzable,compound,2,no,,modified,yes,,winged,cardamom,,winged,cardamom,,shape,visual,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cardamom,black cardamom,Amomum spp.,Asia,spice,,,,amomum,,,,historic,done,,oriental spice plants,,,,yes,,,,yes,amomum,OED,https://www.oed.com/view/Entry/6523,,a1398,14,,OED,,,,,,,,,,,,,J. Trevisa tr. Bartholomaeus Anglicus De Proprietatibus Rerum (BL Add. 27944) (1975) II. xvii. viii. 908   Amomum haþ þat name for it smelleþ as canel doþ þat haþ cinamomum.,,unanalyzable,simple,1,yes,learned loan,basic,no,,,amomum,,,amomum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,caraway,caraway,Carum carvi,Eurasia,,,,,Armenian cumin,,,,alias,,,,,,,no,,,,yes,cumin,OED,https://www.oed.com/view/Entry/45801,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Armenian,cumin,,Armenian,cumin,,geographic origin,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,caraway,caraway,Carum carvi,Eurasia,spice,,,,caraway-seed,,,,alternative,,,,,,,no,,,,yes,caraway-seed,OED,https://www.oed.com/view/Entry/27725?redirectedFrom=caraway-seeds#eid10168158,,1548,16,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,,caraway,seed,,caraway,seed,plant part,,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,caraway,caraway,Carum carvi,Eurasia,,,,,meridian fennel,,,,alias,,,,,,,no,,Wikipedia,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,meridian,fennel,,meridian,fennel,,positive epithet,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,caraway,caraway,Carum carvi,Eurasia,,,,,mountain cumin,,,,alias,,,,,,,no,,,,yes,cumin,OED,https://www.oed.com/view/Entry/45801,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,mountain,cumin,,mountain,cumin,,ecology,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,caraway,caraway,Carum carvi,Eurasia,,,,,Persian cumin,,,,alias,,,,,,,no,,Wikipedia,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Persian,cumin,,Persian,cumin,,geographic origin,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,caraway,caraway,Carum carvi,Eurasia,,,,,royal cumin,,,,alias,,,,,shahjeera,,no,,,,yes,cumin,OED,https://www.oed.com/view/Entry/45801,,1614,17,,OED,,,,https://books.google.com.hk/books?id=BCRLAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=snippet&q=royal&f=false,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,royal,cumin,,royal,cumin,,positive epithet,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,caraway,caraway,Carum carvi,Eurasia,plant; spice,yes,,,caraway,,,,default,done,,,,caraway-seed,,no,,van_wyk_culinary_2014,,yes,caraway,OED,https://www.oed.com/view/Entry/27725,,c1440,15,,OED,,,,,,,,,,,,"< medieval Latin carui, or some allied Romanic form: compare French carvi, Italian carvi, Spanish carvi (whence Scots carvy, kervie), Old Spanish alcaravea, alcarahueya, Portuguese alcaravia, alcorovia, < Arabic al-karawiyā or -karwiyā: compare Greek κάρον, κάρεον (in Latin carum, careum Pliny), forms however which could not immediately give the Arabic.","Promptorium Parvulorum 62   Caraway herbe, carway, sic scribitur in campo florum.",,unanalyzable,simple,1,yes,phonetic,basic,no,,,caraway,,,caraway,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cardamom,cardamom,Elettaria cardamomum,Asia,,,,,green cardamom,,,,alternative,,,,,,,no,,ravindran_cardamom_2002,,no,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,green,cardamom,,green,cardamom,,color,visual,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cardamom,cardamom,Elettaria cardamomum,Asia,,,,,true cardamom,,,,alternative,,,,,,,no,,ravindran_cardamom_2002,,no,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,true,cardamom,,true,cardamom,,positive authenticity,,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cardamom,cardamom,Elettaria cardamomum,Asia,spice; plant,yes,,,cardamom,,cardamon,,default,done,,,,,,yes,,van_wyk_culinary_2014,,yes,cardamom,OED,https://www.oed.com/view/Entry/27836,,a1398,14,,OED,,,,,,,,,,,,"< classical Latin cardamōmum < Hellenistic Greek καρδάμωμον cardamum < ancient Greek κάρδαμον (classical Latin cardamum) cress, of unknown origin (perhaps a loanword) + ἄμωμον amomum n., with haplology.","J. Trevisa tr. Bartholomaeus Anglicus De Proprietatibus Rerum (BL Add. 27944) (1975) II. xvii. xxxiii. 930   Cardimomum is double, lasse and more... Þe firste is cleped þe bettre..and helpeþ þerfore aȝens þe cardiac passioun and aȝein wlatnesse and indignacioun of þe stomak.",,unanalyzable,simple,1,yes,phonetic,basic,no,yes,,cardamom,,,cardamom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum burmannii,Asia,plant; spice,,,,Batavia cassia,,,,alternative,,,,,Jakarta's colonial name,,no,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Batavia,cassia,,Batavia,cassia,,geographic origin,,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum cassia,Asia,spice,,,,Cassia cinnamon,,,,alias,,,,,,,no,,peter_handbook_2012,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Cassia,cinnamon,,Cassia,cinnamon,,type,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum cassia,Asia,plant; spice,,,,Chinese cassia,,,,alternative,,,,,,,no,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Chinese,cassia,,Chinese,cassia,,geographic origin,,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum cassia,Asia,spice,,,,Chinese cinnamon,,,,alias,,,,,,,no,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Chinese,cinnamon,,Chinese,cinnamon,,geographic origin,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum tamala,Asia,spice,,,,Indian bark,,,,related,,,,,,,no,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,no,,Indian,bark,,Indian,bark,,geographic origin,,plant part,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum tamala,Asia,plant; spice,,,,Indian cassia,,,,related,,,,,,,no,,peter_handbook_2012,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Indian,cassia,,Indian,cassia,,geographic origin,,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum tamala,Asia,plant; spice,,,,Indian cassia lignea,,,,related,,,,,,,no,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,3,no,,modified,yes,,Indian,cassia lignea,,Indian,cassia lignea,,geographic origin,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum burmannii,Asia,plant; spice,,,,Indonesian cassia,,,,alternative,,,,,,,no,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Indonesian,cassia,,Indonesian,cassia,,geographic origin,,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum tamala,Asia,spcie,,,,Malabathri bark,,,,related,,,,,,,no,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,,Malabathri,bark,,Malabathri,bark,plant part,,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum burmannii,Asia,plant; spice,,,,Padang cassia,,,,alternative,,,,,coastal city in Sumatra,,no,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Padang,cassia,,Padang,cassia,,geographic origin,,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum loureiroi; C. cassia,Asia,spice,,,,Saigon cinnamon,,,,alias,,,,,,,no,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Saigon,cinnamon,,Saigon,cinnamon,,geographic origin,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum loureiroi; C. cassia,Asia,spice,,,,Vietnamese cassia,,,,alternative,,,,,,,no,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Vietnamese,cassia,,Vietnamese,cassia,,geographic origin,,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum cassia,Asia,spice,,,,bastard cinnamon,,,,alias,,,,,French influence,,no,,,,yes,,OED,https://www.oed.com/view/Entry/16044?redirectedFrom=bastard+cinnamon#eid1265820550,,1678,17,,,,,,,,,,,,,,[after French †cannelle bastarde (1605 or earlier; now cannelle bâtarde)],"J. Phillips tr. J.-B. Tavernier Indian Trav. i. xvi. 88 in tr. J.-B. Tavernier Six Voy.   The Dutch..cast their eyes upon Cochin, in the Territories whereof grows the Bastard Cinnamon, which hinder'd the utterance of Ceylan Cinnamon.",,analyzable,compound,2,yes,calque,modified,yes,,bastard,cinnamon,,bastard,cinnamon,,negative authenticity,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum burmannii,Asia,plant; spice,,,,Korintje cassia,,,,alternative,,,,,Kerinci regency's Dutch name (Sumatra),,no,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,yes,phonetic,modified,yes,,Korintje,cassia,,Korintje,cassia,,geographic origin,,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,cinnamon,cassia,Cinnamomum cassia,Asia,spice; plant,yes,,,cassia,,,,default,done,,,,more fully cassia-bark,word,no,,van_wyk_culinary_2014,,yes,cassia,OED,https://www.oed.com/view/Entry/28492,,c1000,11,,OED,,,,,,,,,,,,"< Latin casia (cassia), < Greek κασία, < Hebrew q'tsīʿāh ‘a bark resembling cinnamon, but less aromatic, so called from being stripped off ( < qātsaʿ to cut off, strip off bark)’, Gesenius. Wyclif's word points to an Old French form with ch.","Ags. Ps. xliv. 10 [xlv. 8]   Myrre, and gutta, and cassia dropiað of þinum claðum.",,unanalyzable,simple,1,yes,learned loan,basic,no,yes,,cassia,,,cassia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,chile,chile,Capsicum annuum Grossum,America,fruit,,,,bell-pepper,,,,related,,,,,,,no,,,,yes,,OED,https://www.oed.com/view/Entry/17403?redirectedFrom=bell+pepper#eid23876190,,1707,18,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,bell,pepper,,bell,pepper,,shape,visual,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,chile,chile,Capsicum frutescens,America,spice; fruit,,,,bird chili,,,,alternative,,,,,,,no,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,bird,chili,,bird,chili,,ecology,,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,chile,chile,Capsicum annuum var. glabriusculum,America,fruit,,,,bird pepper,,,,alternative,,,,,ancestor of bot sweet and chilli peppers,,no,,,,yes,,OED,https://www.oed.com/view/Entry/19327?redirectedFrom=bird+pepper#eid20149850,,1696,17,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,bird,pepper,,bird,pepper,,ecology,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,chile,chile,Capsicum annuum; C. frutescens,America,spice; fruit,,,,Cayenne pepper,,,,alternative,,,,,,,no,,van_wyk_culinary_2014,,yes,,OED,https://www.oed.com/view/Entry/29324?redirectedFrom=Cayenne+pepper#eid9903144,,1756,18,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Cayenne,pepper,,Cayenne,pepper,,geographic origin,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,chile,chile,Capsicum cerasiforme,America,fruit,,,,cherry-pepper,,,,alternative,,,,,,,no,,,,yes,,OED,https://www.oed.com/view/Entry/31341?redirectedFrom=cherry+pepper#eid9685669,,1832,19,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,cherry,pepper,,cherry,pepper,,shape,visual,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,chile,chile,Capsicum spp.,America,spice; fruit; plant,,,,chili pepper,,,,alternative,,,chile,,marked erroneous in OED,,no,,van_wyk_culinary_2014,,yes,,OED,https://www.oed.com/view/Entry/31675,,1662,17,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,chili,pepper,,chili,pepper,,type,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,chile,chile,Capsicum annuum Grossum,America,spice; fruit; plant,,,,green pepper,,,,alternative,,,,,,,yes,,van_wyk_culinary_2014,,yes,,OED,https://www.oed.com/view/Entry/277092,,1565,16,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,green,pepper,,green,pepper,,color,visual,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,chile,chile,Capsicum annuum; C. frutescens,America,spice; fruit; plant,,,,Guinea pepper,,,,archaic,,,,,early name for Cayenne pepper,,no,,,,yes,,OED,https://www.oed.com/view/Entry/82387?redirectedFrom=guinea+pepper#eid,,1597,16,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,modified,yes,,Guinea,pepper,,Guinea,pepper,,geographic origin,,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
